Trace_ID,Accepted Traces
1,1
2,"2, 3,4,5,6,7,39"
3,"8, 29,30"
4,"9, 10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,32"
5,"31, 35,42,44,99,112,156,234"
6,"33, 34,93"
7,36
8,"37,38,40,41"
9,43
10,"45, 48"
11,"46, 49"
12,47
13,"50, 51,54,80,81,119,120,121,122,123"
14,"52, 111,160"
15,"53, 82"
16,55
17,"56, 57,58,59,60"
18,"61, 62,63,64,65,66,67,68,69,70,73,74,75,78,79"
19,"71, 72,83,176,177"
20,76
21,"77, 87,94,108,109,168,169,170"
22,"84, 85,86,127,128,131,136,162,167,171,172,209,214,215,216"
23,"88,89"
24,"90, 174, 233, 239"
25,"91, 92"
26,95
27,96
28,97
29,98
30,"100, 101, 104"
31,"102, 106,107"
32,103
33,105
34,"110, 114,126,138"
35,"113, 124"
36,"115, 117,118,125"
37,"129, 132,133"
38,116
39,130
40,"134, 135"
41,"137, 144,145,152,153,227"
42,"139, 154"
43,"140, 141,142,201,204,205"
44,"143, 146,155,166"
45,"147, 217,218"
46,"148, 149,150,163,164,165,187,188,189,190,191,192,193,194,195,196,197,198,200,211"
47,151
48,"157, 158,159,182,183, 184,185"
49,"161, 230,231,232"
50,"173, 175,178,220,221,222,223,224,225,226"
51,186
52,"179, 180,181"
53,"199,210"
54,"202, 207, 243"
55,203
56,206
57,"208, 212,213"
58,219
59,228
60,229
61,"235, 236"
62,"237,240"
63,"238, 245, 246"
64,"241, 242, 244, 247, 248, 249"
65,250