Email_ID,Keyword_1,Keyword_2,Keyword_3,Keyword_4,Keyword_5,Keyword_1_member_0,Keyword_2_member_0,Keyword_3_member_0,Keyword_4_member_0,Keyword_5_member_0,Keyword_1_member_1,Keyword_2_member_1,Keyword_3_member_1,Keyword_4_member_1,Keyword_5_member_1,Keyword_1_member_2,Keyword_2_member_2,Keyword_3_member_2,Keyword_4_member_2,Keyword_5_member_2,Keyword_1_member_3,Keyword_2_member_3,Keyword_3_member_3,Keyword_4_member_3,Keyword_5_member_3,Keyword_1_member_4,Keyword_2_member_4,Keyword_3_member_4,Keyword_4_member_4,Keyword_5_member_4,Keyword_1_member_5,Keyword_2_member_5,Keyword_3_member_5,Keyword_4_member_5,Keyword_5_member_5,Keyword_1_member_6,Keyword_2_member_6,Keyword_3_member_6,Keyword_4_member_6,Keyword_5_member_6,Keyword_1_member_7,Keyword_2_member_7,Keyword_3_member_7,Keyword_4_member_7,Keyword_5_member_7
1,commit,headerselectorproducer,support,value,key,commit,support,header,key,value,commit,HeaderSelectorProducer,git,support,updated,commit,HeaderSelectorProducer,support,key,value,commit,git,headerselectorproducer,java,-,git,commit,HeaderSelectorProducer,support,suppliers,headerselectorproducer,support,commit,value,key,commit,headerselectorproducer,support,key,value,Commit,code,Java,HeaderSelectorProducer,-
2,commit,rename,catalog,clash,runtimecatalog,commit,rename,catalog,package,clash,commit,runtimecatalog,git,clash,package name,commit,rename,catalog,runtimecatalog,clash,commit,git,updates,xml,-,git,commit,rename,catalog,clash,catalog,rename,clash,commit,runtimecatalog,commit,rename,catalog,runtimecatalog,clash,Commit,code,XML,rename,catalog
3,commit,rename,catalog,clash,runtimecatalog,commit,rename,catalog,package,clash,commit,runtimecatalog,git,clash,package name,commit,rename,catalog,runtimecatalog,clash,commit,git,java,rename,-,git,commit,rename,catalog,clash,catalog,clash,commit,rename,runtimecatalog,commit,rename,catalog,runtimecatalog,clash,Commit,code,Java,rename,catalog
4,commit,rename,catalog,clash,runtimecatalog,commit,rename,catalog,package,clash,commit,runtimecatalog,git,clash,package name,commit,rename,catalog,runtimecatalog,clash,commit,git,java,rename,-,git,commit,rename,catalog,clash,catalog,rename,clash,commit,runtimecatalog,commit,rename,catalog,runtimecatalog,clash,Commit,code,Java,rename,catalog
5,commit,rename,catalog,clash,runtimecatalog,commit,rename,catalog,package,clash,commit,runtimecatalog,git,clash,package name,commit,rename,catalog,runtimecatalog,clash,commit,git,java,rename,-,git,commit,rename,catalog,clash,catalog,rename,clash,commit,runtimecatalog,commit,rename,catalog,runtimecatalog,clash,Commit,code,Java,rename,catalog
6,commit,rename,catalog,clash,runtimecatalog,commit,rename,catalog,package,clash,commit,runtimecatalog,git,clash,package name,commit,rename,catalog,runtimecatalog,clash,commit,git,java,rename,-,git,commit,rename,catalog,clash,catalog,rename,clash,commit,runtimecatalog,commit,rename,catalog,runtimecatalog,clash,Commit,code,Java,rename,catalog
7,commit,rename,catalog,clash,runtimecatalog,commit,rename,catalog,package,clash,commit,runtimecatalog,git,clash,package name,commit,rename,catalog,runtimecatalog,clash,commit,git,java,rename,-,git,commit,rename,catalog,clash,catalog,rename,clash,commit,runtimecatalog,commit,rename,catalog,runtimecatalog,clash,Commit,code,Java,rename,catalog
8,commit,ported,wiki,camel-ignite,adoc,commit,CAMEL-10843,ported,camel-ignite,doc,commit,wiki doc,git,Ported,-,commit,CAMEL-10843,camel-ignite,ported,wiki,commit,git,docs,wiki,-,git,commit,CAMEL-10843,ported,camel-ignite,camel-ignite,ported,camel-10843,commit,wiki,commit,camel-ignite,ported,wiki,adoc,Commit,code,wiki,adoc,-
9,commit,test,camel-example-cxf-blueprint,pass,java,commit,CAMEL-10968,tests,pass,Java,commit,camel-example-cxf-blueprint,tests,pass,Java 9,commit,CAMEL-10968,camel-example-cxf-blueprint,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-cxf-blueprint,tests,commit,camel-10968,camel-example-cxf-blueprint,pass,commit,camel-example-cxf-blueprint,tests,pass,java,Commit,code,Java,XML,tests
10,commit,test,camel-example-cxf-tomcat,pass,java,commit,CAMEL-10968,tests,pass,Java,commit,camel-example-cxf-tomcat,tests,pass,Java 9,commit,CAMEL-10968,camel-example-cxf-tomcat,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-cxf-tomcat,tests,commit,camel-10968,camel-example-cxf-tomcat,pass,commit,camel-example-cxf-tomcat,tests,pass,java,Commit,code,Java,XML,tests
11,commit,test,camel-cxf-transport,pass,java,commit,CAMEL-10968,tests,pass,Java,commit,camel-cxf-transport,tests,pass,Java 9,commit,CAMEL-10968,camel-cxf-transport,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-cxf-transport,tests,commit,camel-10141,camel-cxf-transport,pass,commit,camel-cxf-transport,tests,pass,java,Commit,code,Java,XML,tests
12,commit,test,camel-example-loan-broker-jms,pass,java,commit,CAMEL-10141,tests,pass,Java,commit,camel-example-loan-broker-jms,tests,pass,Java 9,commit,CAMEL-10141,camel-example-loan-broker-jms,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-loan-broker-jms,tests,commit,camel-10141,camel-example-loan-broker-jms,pass,commit,camel-example-loan-broker-jms,tests,pass,java,Commit,code,Java,XML,tests
13,commit,test,camel-example-cdi-example,pass,java,commit,CAMEL-10141,tests,pass,Java,commit,camel-example-cdi-example,tests,pass,Java 9,commit,CAMEL-10141,camel-example-cdi-example,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-cdi-example,tests,commit,camel-10141,camel-example-cdi-example,pass,commit,camel-example-cdi-example,tests,pass,java,Commit,code,Java,XML,tests
14,test,commit,pass,camel-example-cdi-test,java,commit,CAMEL-10141,tests,pass,Java,commit,camel-example-cdi-example,tests,pass,Java 9,commit,CAMEL-10141,camel-example-cdi-test,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-cdi-test,tests,commit,camel-10141,camel-example-cdi-test,pass,commit,camel-example-cdi-test,tests,pass,java,Commit,code,Java,XML,tests
15,commit,test,camel-example-cdi-metrics,pass,java,commit,CAMEL-10141,tests,pass,Java,commit,camel-example-cdi-metrics,tests,pass,Java 9,commit,CAMEL-10141,camel-example-cdi-metrics,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-cdi-metrics,tests,commit,camel-10141,camel-example-cdi-metrics,pass,commit,camel-example-cdi-metrics,tests,pass,java,Commit,code,Java,XML,tests
16,commit,test,camel-example-cdi-properties,pass,java,commit,CAMEL-10141,tests,pass,Java,commit,camel-example-cdi-properties,tests,pass,Java 9,commit,CAMEL-10141,camel-example-cdi-properties,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-cdi-properties,tests,commit,camel-10141,camel-example-cdi-properties,pass,commit,camel-example-cdi-properties,tests,pass,java,Commit,code,Java,XML,tests
17,commit,test,camel-example-reportincident,pass,java,commit,CAMEL-10141,tests,pass,Java,commit,camel-example-reportincident,tests,pass,Java 9,commit,CAMEL-10141,camel-example-reportincident,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-reportincident,tests,commit,camel-10141,camel-example-reportincident,pass,commit,camel-example-reportincident,tests,pass,java,Commit,code,Java,XML,tests
18,commit,test,camel-example-rest-servlet,pass,java,commit,CAMEL-10141,tests,pass,Java,commit,camel-example-rest-servlet,tests,pass,Java 9,commit,CAMEL-10141,camel-example-rest-servlet,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-rest-servlet,tests,commit,camel-10141,camel-example-rest-servlet,pass,commit,camel-example-rest-servlet,tests,pass,java,Commit,code,Java,XML,tests
19,commit,test,camel-example-pojo-messaging,pass,java,commit,CAMEL-10141,tests,pass,Java,commit,camel-example-pojo-messaging,tests,pass,Java 9,commit,CAMEL-10141,camel-example-pojo-messaging,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-pojo-messaging,tests,commit,camel-10141,camel-example-pojo-messaging,pass,commit,camel-example-pojo-messaging,tests,pass,java,Commit,code,Java,XML,tests
20,commit,test,camel-example-management,pass,java,commit,CAMEL-10141,tests,pass,Java,commit,camel-example-management,tests,pass,Java 9,commit,CAMEL-10141,camel-example-management,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-management,tests,commit,camel-10141,camel-example-management,pass,commit,camel-example-management,tests,pass,java,Commit,code,Java,XML,tests
21,commit,test,camel-example-spring-jms,pass,java,commit,CAMEL-10141,tests,pass,Java,commit,camel-example-spring-jms,tests,pass,Java 9,commit,CAMEL-10141,camel-example-spring-jms,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-spring-jms,tests,commit,camel-10141,camel-example-spring-jms,pass,commit,camel-example-spring-jms,tests,pass,java,Commit,code,Java,XML,tests
22,commit,test,camel-example-osgi-rmi,pass,java,commit,CAMEL-10141,tests,pass,Java,commit,camel-example-osgi-rmi,tests,pass,Java 9,commit,CAMEL-10141,camel-example-osgi-rmi,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-osgi-rmi,tests,commit,camel-10141,camel-example-osgi-rmi,pass,commit,camel-example-osgi-rmi,tests,pass,java,Commit,code,Java,XML,tests
23,test,commit,pass,camel-example-cafe,java,commit,CAMEL-10141,tests,pass,Java,commit,camel-example-cafe,tests,pass,Java 9,commit,CAMEL-10141,camel-example-cafe,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-caf_,tests,commit,camel-10141,camel-example-cafe,pass,commit,camel-example-cafe,tests,pass,java,Commit,code,Java,XML,tests
24,test,commit,skip,java,xml,commit,CAMEL-10968,tests,skip,Java,commit,skip,tests,until,Java 9,commit,CAMEL-10968,cxf,tests,skip,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,CXF-7270,tests,commit,camel-10968,java,skip,commit,skip,cxf,tests,java,Commit,code,Java,XML,tests
25,test,commit,skip,java,xml,commit,CAMEL-10968,tests,skip,Java,commit,skip,tests,until,Java 9,commit,CAMEL-10968,cxf,tests,skip,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,CXF-7270,tests,commit,camel-10968,java,skip,commit,skip,cxf,tests,java,Commit,code,Java,XML,tests
26,commit,test,camel-example-cxf-osgi,pass,java,commit,CAMEL-10968,tests,pass,Java,commit,camel-example-cxf-osgi,tests,pass,Java 9,commit,CAMEL-10968,camel-example-cxf-osgi,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-cxf-osgi,tests,commit,camel-10968,camel-example-cxf-osgi,pass,commit,camel-example-cxf-osgi,tests,pass,java,Commit,code,Java,XML,tests
27,commit,test,camel-example-loan-broker-cxf,pass,java,commit,CAMEL-10968,tests,pass,Java,commit,camel-example-loan-broker-cxf,tests,pass,Java 9,commit,CAMEL-10968,camel-example-loan-broker-cxf,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-loan-broker-cxf,tests,commit,camel-10968,camel-example-loan-broker-cxf,pass,commit,camel-example-loan-broker-cxf,tests,pass,java,Commit,code,Java,XML,tests
28,commit,test,camel-example-cxf-proxy,pass,java,commit,CAMEL-10968,tests,pass,Java,commit,camel-example-cxf-proxy,tests,pass,Java 9,commit,CAMEL-10968,camel-example-cxf-proxy,tests,pass,commit,git,xml,tests,-,git,commit,CAMEL-10968,tests,camel-example-cxf-proxy,tests,commit,camel-10968,camel-example-cxf-proxy,pass,commit,camel-example-cxf-proxy,tests,pass,java,Commit,code,Java,XML,tests
29,pull request,closed,camel-ignite,ported,wiki,closed,pull request,CAMEL-10843,camel-ignite,doc,pull request,ported,wiki doc,GitHub,closed,pull,CAMEL-10843,camel-ignite,wiki,adoc,git,pull,closed,-,-,pull,request,CAMEL-10843,ported,camel-ignite,pull,camel-10843,request,closed,ported,pull,request,camel-ignite,ported,wiki,GitHub,pull,request,wiki,adoc
30,pull request,commented,closed,readme.adoc,add,commented,CAMEL-10843,add,readme.adoc,files,commented,GitHub,pull request,Documentation,closed,jira,CAMEL-10843,commented,readme.adoc,components,git ,pull ,add,closed,comments,jira,commented,CAMEL-10843,Improvement,documentation,camel-10843,pull,readme.adoc,improvement,commented,comment,closed,pull,request,readme.adoc,Comments,pull,request,readme,adoc
31,fixed,jenkins,build,camel.trunk.notest,success,jenkins,build,system,Camel.trunk.notest,fixed,SUCCESS,Jenkins,Fixed,X-Jenkins-Result,Build System,build,camel.trunk.notest,#3138,fixed,jenkins,softwarebuild,status,fixed,-,-,Jenkins,Build,fixed,Camel.trunk.notest,-,fixed,camel.trunk.notest,success,build,jenkins,jenkins,build,camel.trunk.notest,fixed,success,Jenkins,build,system,fixed,server
32,test,pull request,closed,java,pass,closed,pull request,CAMEL-10141,pass,tests,pull request,closed,Java 9,pass,tests,pull,CAMEL-10141,tests,java,remaining,git,pull,closed,-,-,pull,request,Camel-10141,tests,Java 9,pull,tests,request,camel-10141,closed,pull,request,pass,tests,java,GitHub,pull,request,Java,tests
33,assigned,camel-infinispan,store,improvement,header,assigned,CAMEL-10896,camel-infinispan,stores,header,Improvement,Assigned,component,camel-infinispan,reassigned,assigned,CAMEL-10896,camel-infinispan,stores,header,issue,notification,error,java,assignment,jira,assigned,CAMEL-10896,improvement,camel-infinispan,Assigned,camel-10896,camel-infinispan,improvement,header,reassigned,camel-infinispan,store,result,header,Assigned,bug,Java,store,result
34,updated,camel-infinispan,store,improvement,fix version,updated,CAMEL-10896,camel-infinispan,stores,header,Improvement,Updated,component,camel-infinispan,Fix Version,updated,CAMEL-10896,camel-infinispan,stores,header,issue,improvement,error,fix,-,jira,updated,CAMEL-10896,improvement,camel-infinispan,updated,camel-10896,camel-infinispan,improvement,store,updated,camel-infinispan,fix,version,store,Updated,bug,Java,store,body
35,failure,build,jenkins,camel.trunk.notest,status,jenkins,build,system,Camel.trunk.notest,failure,FAILURE,Jenkins,,X-Jenkins-Result,Build System,build,camel.trunk.notest,#3139,failure,jenkins,status,failure,build,git,-,Jenkins,Build,failure,Camel.trunk.notest,-,failure,camel.trunk.notest,build,jenkins,,jenkins,build,camel.trunk.notest,failure,status,Jenkins,build,system,failure,server
36,svn,commit,update,website,buildbot,svn,commit,update,buildbot,websites,svn,commit,modified,websites,buildbot,svn,buildbot,production,update,1010488,commit,html,git,-,-,svn,commit,production,update,cdi.html,svn,commit,update,websites,modified,svn,commit,modified,websites/production/camel/content/cache/main.pageCache,websites/production/camel/content/cdi.html,Svn,build,HTML,Java,commit
37,commit,documentation,java,adoc,components/camel-cdi/src/main/docs/cdi.adoc,commit,CAMEL-10685,documentation,-,-,git,commit,documentation,java,Transaction,commit,CAMEL-10685,documentation,-,-,commit,changes,adoc,java,-,git,commit,CAMEL-10685,documentation,-,documentation,camel-10685,commit,components/camel-cdi/src/main/docs/cdi.adoc,,commit,documentation,updated,components/camel-cdi/src/main/docs/cdi.adoc,CDI,GitHub,commit,documentation,adoc,Java
38,commit,documentation,testing,cdi,update,commit,CDI,update,testing,documentation,git,commit,update,documentation,testing container,commit,CDI,update,testing,documentation,commit,changes,test,docs,-,git,commit,CDI,testing,container,cdi,documentation,testing,commit,,commit,cdi,testing,versions,documentation,commit,documentation,container,version,adoc
39,commit,rename,catalog,clash,runtimecatalog,commit,rename,catalog,clash,package,git,commit,rename,package name,clash,commit,rename,catalog ,-,-,commit,git,java,rename,-,git,commit,rename,catalog,clash,catalog,commit,rename,clash,runtimecatalog,commit,rename,catalog,runtimecatalog,camel-catalog,Code,commit,Java,rename,catalog
40,commit,exception,polish,multi-catch,java,commit,CAMEL-10685,use,exceptions,polish,git,commit,multi-catch,exceptions,polish,commit,CAMEL-10685,multi-catch,exceptions,polish,commit,git,java,polish,-,git,commit,CAMEL-10685,multi-catch,exceptions,camel-10685,exceptions,commit,polish,multi-catch,commit,multi-catch,exception,polish,transactionpolicy,Code,commit,Java,exceptions,-
41,commit,transactionerrorhandler,support,xml,cdi,commit,CDI,support,TransactionErrorHandler,XML,git,commit,TransactionErrorHandler,Support,,commit,CDI,support,transactionerrorhandler,xml,commit,git,java,transaction error handler,-,git,commit,CDI,Support,TransactionErrorHandler,support,cdi,transactionerrorhandler,commit,xml,commit,cdi,support,transactionerrorhandler,xml,Code,commit,XML,Java,ErrorHandler
42,build,jenkins,failing,camel.trunk.notest,still,jenkins,build,system,Camel.trunk.notest,failing,Failling,Still,Jenkins,X-Jenkins-Result,built,build,camel.trunk.notest,#3140,failure,jenkins,results,status,failure,build,-,Jenkins,Build,failing,Camel.trunk.notest,-,failing,camel.trunk.notest,build,jenkins,failure,jenkins,build,camel.trunk.notest,failing,failure,Jenkins,build,system,still,failing
43,multiple,traversing,response,route,tried,users,multiple,route,response,POC,Tried,it worked,good option?,let,know,routebuilder,routes,multiple,points,poc,reply,solution,tried,worked,-,routebuilder,multiple,routes,-,-,response,traversing,multiple,route,,mutliple,points,traversing,different,routes,multiple,routebuilder,traversing,different,response
44,build,jenkins,failing,camel.trunk.notest,still,jenkins,build,system,Camel.trunk.notest,failing,Failling,Still,Jenkins,X-Jenkins-Result,built,build,camel.trunk.notest,#3141,failure,jenkins,status,failing,build,git,-,Jenkins,Build,failing,Camel.trunk.notest,-,failing,camel.trunk.notest,build,jenkins,failure,jenkins,build,camel.trunk.notest,failing,failure,Jenkins,build,system,still,failing
45,bean,transform,question,option,format,users,transformation,beans,formats,question,Question,API,transform,format,book,transform,api,formats,custom-dataformat,exchange,question,beans,camel,transformer,dataformat,question,transform,beans,options,-,question,beans,transform,options,follow-up,beans,transform,custom,format,options,Transformer,options,Camel,beans,-
46,error,websocket,port,binding,poc,users,websocket,error,bind,port,error,port,binding,websocket,bug,websockets,poc,ui,server,error,why,bug,error,binding,port,websocket,bind,error,POCS,deploys,error,websocket,bind,port,poc,websocket,port,binding,error,deployed,websockets,Camel,binding ,error,server
47,review,feedback,trustradius,linkedin,developer,users,review,developers,trustradius,login,review,feedback,trustradius,you,developers,review,linkedin,trustradius,read,feedback,feedback,reviews,camel,users,developers,review,linkedin,trustradius,-,-,review,trustradius,linkedin,feedback,,review,trustradius,insight,feedback,relevant,Camel,review,feedback,user,linkedin
48,bean,api,transformation,message,processor,users,transformation,beans,headers,api,api,transformation,processor,bean,message,transform,api,bean,body,bind,beans,wrote:,camel,transformation,-,transformation,message,api,headers,bind,transformation,api,headers,beans,processor,transformation,beans,api,exchange,processor,Transformer,options,Camel,beans,tests
49,websocket,old,port,binding,error,users,websocket,error,port,old,Websocket,binding,error,old,port,websocket,old,java,jvm,port,binding,wrote:,camel,port,java,websocket,binding,old,port,-,error,websocket,old,binding,port,websocket,binding,error,process,running,websockets,Camel,old,code,Java
50,created,camel-ssh,header,improvement,message,created,CAMEL-11152,camel-ssh,message,headers,Created,Improvement,allow,message headers,ssh,jira,CAMEL-11152,camel-ssh,headers,username/password,fix,issue,camel,ssh,exchange,jira,created,CAMEL-11152,camel-ssh,improvement,created,camel-ssh,camel-11152,improvement,headers,created,camel-ssh,message,headers,username/password,Allow,exchange,provide,username,password
51,ticket,support,header,logged,username/password,logged,ticket,headers,CAMEL-11152,support,logged,ticket,support,contributions,welcome,support,ticket,ssh,logged,username/password,ticket,upgrade,username/password,future,,Camel SSH,support,password,RSA token,-,CAMEL-11152,ticket,support,-,-,ssh,username/password,ticket,header,dynamic,logged,ticket,support,headers,future
52,hystrix,suggest,threadpool,configuration,usecase,hystrix,properties,suggest,how,configuration,special,usecase,question,suggest,correct,hystrix,threadpool,suggest,endpoint,usecase,suggest,usecase,correct,configuration,threadpool,dynamically,inject,hystrix,threadpool,suggest,hystrix ,usecase ,pass,HystrixThreadpoolDefinition ,route,hystrix,threadpool,configuration,endpoint,inject,hystrix,how,dynamically,inject,properties
53,delete,file,.camel,outside,issue,able,delete,files,outside,issue,exception,files,delete,stack trace,,delete,.camel,Outside,records,route,software ,exception,reading,file,delete,delete,issue,.camel,-,-,issue,.camel,,store,-,not,delete,files,outside,.camel,Camel,not,able,delete,files
54,header,reassigned,camel-ssh,username/password,assigned,assigned,camel-ssh,camel-11152,reassigned,headers,reassigned,assignee,improvement,message headers,ssh,assign,ssh,headers,username/password,endpoint,jira,improvement,reassigned,headers,username/password,Jira,Assigned,CAMEL-11152,camel-ssh,improvement,CAMEL-11152,reassigned,camel-ssh,-,-,assigned,camel-ssh,username/password,message,headers,allow,use,headers,username,password
55,issue,encoding,tokenize,grouping,fixed,camel-core,encoding,grouping,corrupted,split,issue,splitting,tokenize,fixed,thoughts,tokenize,issue,encoding,fixed,exchange,users,issue,encoding,fixed,,encoding,tokenize,issue,-,-,issue,tozenize,Integration ,,-,encoding,issue,tokenize,split,grouping,Camel,encoding,issue,grouping,tokens
56,split,json,sql,component,battle,split,JSON,file ,SQL,component,JSON,battle,component,ignores,option,json,Split,sql,battle,maximum,split,battle,still,component,sql,split,json,sql,camel 2.11,-,documentation,JSON,SQL,Split,-,split,json,maximum,maxmessagesperpoll,poll,split,json,file,ignores,option
57,json,split,resultset,database,batch,split,JSON,file,service,batch,JSON,Couldn't you,battle,ignores,option,database,split,json,battle,database,split ,json,you,resultset,,split,json,sql,database,camel 2.11,resultset,split,-,-,-,split,json,resultset,send,batch,split,resultset,json,produce,json
58,json,split,maxmessagesperpoll,record,not,split,JSON ,file,record,not,JSON,Did not,work,using,-,maxMessagesPerPoll,records,JSON,split,did not work,not,work,json,split ,file,split,json,record,maxMEssagesPerPoll,-,maxMessagesPerPoll,not ,group,-,-,split,json,maxmessagesperpoll,not,group,json,split,record,not,work
59,split,json,resultset,suggest,whole,split,JSON ,file,suggest,parse,JSON,suggest,whole,resultset,split,suggest,data,resultset,json,split,split ,json,suggest,resultset,,split,json,resultset,maxMessagePerPoll,-,resultset ,,-,-,-,split,json,whole,resultset,queue,resultset,json,split,stream,file
60,json,split,try,file,i'll try,split,JSON ,file,try,,JSON,I'll try,Split,-,-,split,JSON,try,-,-,split,json ,file,try,,split,json,try,-,-,JSON,Split,-,-,-,using,split,json,file,try,I'll,try,json,split,file
61,bug,created,itest,camel-protobuf,fail,camel-protobuf,camel-11153,itest,created,bug,Created,Bug,failing,camel-protobuf,issue,itest,camel-protobuf,fail,Created,Bug,created,bug,camel,itest,fail,jira,created,CAMEL-11153,camel-protobuf,itest,created,CAMEL-11153,Bug,failing,locally,created,camel-protobuf,itest,fail,bug,camel,protobuf,bug,fails,locally
62,updated,itest,camel-protobuf,fail,bug,camel-protobuf,camel-11153,itest,updated,version,Updated,Bug,Affects Version/s,camel-protobuf,fail,itest,camel-protobuf,fail,updated,Affects Version/s,updated,bug,version,itest,fail,jira,updated,CAMEL-11153,itest,affects,updated,CAMEL-11153,upgrades,-,-,camel-protobuf,updated,itest,fail,2.19.0,Camel,protobuf,bug,updated,failing
63,updated,camel-protobuf,itest,component/s,fail,camel-protobuf,camel-11153,itest,updated,tests,Updated,Bug,Component/s,camel-protobuf,fail,updated,camel-protobuf,itest,affects,Component/s: tests,updated,bug,components,itest,fail,jira,updated,CAMEL-11153,camel-protobuf,component/s,tests,CAMEL-11153,updated,-,-,camel-protobuf,itest,fail,component/s,test,Camel,protobuf,bug,updated,failing
